2.747538,	-0.001273,	1.338553,	-1.911517,	-0.372783,	-2.255911,	
2.321571,	-0.001342,	3.668961,	-4.077236,	0.576192,	-3.683589,	
0.419156,	-0.007382,	-2.624338,	-7.871994,	3.878491,	-11.402986,	
2.556321,	-0.003030,	1.904751,	-3.535439,	-0.804799,	-4.207633,	
-0.065645,	-0.006413,	-1.013155,	-7.029519,	5.983070,	-13.002096,	
-2.064676,	-0.003742,	3.633713,	-5.205751,	0.665274,	-4.892575,	
2.074103,	-0.002620,	1.177576,	-5.166900,	-0.751439,	-5.531060,	
-0.346590,	-0.006668,	-8.033927,	-9.196517,	0.572707,	-9.736454,	
2.786016,	-0.002703,	0.872108,	-3.058082,	-1.784420,	-4.732552,	
0.315463,	-0.000021,	-2.509228,	-7.961369,	4.614929,	-12.348533,	
2.574572,	-0.004267,	1.994999,	-4.037278,	-1.105126,	-4.971982,	
0.613479,	-0.002692,	-3.369500,	-8.550704,	2.705208,	-10.758417,	
0.302864,	-0.002597,	-12.278430,	-8.628338,	-3.713648,	-5.086602,	
1.009255,	-0.002115,	6.277573,	-5.043163,	5.210775,	-7.808518,	
1.239105,	-0.000394,	-6.581041,	-7.430288,	-2.198390,	-6.715217,	
-2.350444,	-0.003724,	-0.435666,	-4.153106,	-2.215606,	-5.704863,	
0.039437,	-0.009285,	7.750094,	-1.653804,	9.379688,	-11.022361,	
2.789739,	-0.001209,	-1.237346,	-2.238150,	-2.986875,	-5.043279,	
2.082869,	-0.004178,	2.701238,	-5.755096,	-0.079490,	-5.794334,	
-0.815181,	-0.002898,	1.827756,	-7.122509,	4.405686,	-10.152927,	
0.637321,	-0.008827,	2.306335,	-6.456622,	5.476054,	-10.828752,	
-0.488966,	-0.010144,	1.735906,	-6.425404,	6.136141,	-11.871463,	
0.508042,	-0.003546,	1.662392,	-6.444224,	5.873770,	-11.565962,	
-0.796163,	-0.004061,	2.765770,	-6.544574,	4.886405,	-9.976547,	
1.056164,	-0.005599,	1.575966,	-7.308981,	2.915098,	-8.729606,	
2.788057,	-0.004391,	2.854432,	-3.822834,	-0.660461,	-4.443446,	
0.156008,	-0.003349,	-2.829323,	-8.057381,	5.000063,	-12.994091,	
0.450678,	-0.005078,	-9.193737,	-9.434810,	-0.604789,	-8.891752,	
1.827456,	-0.003549,	6.067895,	-5.823455,	2.363021,	-5.215492,	
1.124571,	-0.001230,	-8.241220,	-7.652777,	-2.726085,	-6.479323,	
0.836908,	-0.000776,	11.662357,	0.595714,	7.256658,	-4.260340,	
-2.098423,	-0.000182,	7.745386,	-4.313962,	3.191260,	-2.707716,	
2.344957,	-0.002930,	0.422989,	-4.754235,	-1.929794,	-6.107423,	
1.706558,	-0.001442,	8.257359,	-4.647290,	3.846848,	-4.121144,	
-0.164364,	-0.007471,	-1.990386,	-7.898753,	5.672852,	-13.501929,	
-2.963546,	-0.005652,	-1.350252,	-2.319729,	-3.513709,	-5.774319,	
-0.152480,	-0.001061,	-1.669558,	-7.770498,	5.878280,	-13.581518,	
-2.629305,	-0.004444,	0.578311,	-4.008639,	-2.336634,	-6.040199,	
2.448426,	-0.005988,	-1.900886,	-3.558680,	-3.317064,	-6.122901,	
2.080907,	-0.003697,	6.784107,	-5.378311,	2.354761,	-4.220953,	
0.764154,	-0.000917,	-9.936251,	-8.830148,	-2.410503,	-7.091371,	
2.059637,	-0.000183,	-1.752264,	-5.516651,	-2.441264,	-6.663471,	
-0.369698,	-0.005546,	-8.644559,	-9.804421,	0.458758,	-10.233096,	
-0.014904,	-0.003099,	13.600911,	4.908569,	8.691473,	-3.782298,	
-2.431225,	-0.001637,	6.230074,	-5.140954,	1.638618,	-3.900431,	
2.379509,	-0.000632,	6.498257,	-4.941569,	1.979168,	-3.508977,	
-2.501091,	-0.000119,	-2.281230,	-3.134813,	-3.532535,	-5.966934,	
2.661926,	-0.002942,	-1.215648,	-3.255168,	-3.393358,	-6.270177,	
1.658691,	-0.002898,	8.869042,	-4.491476,	4.248368,	-4.106287,	
-1.890632,	-0.001733,	-0.840199,	-6.544398,	-1.517765,	-7.019102,	
1.769996,	-0.006389,	2.501769,	-7.092017,	0.538203,	-6.982146,	
1.836666,	-0.000464,	-9.925086,	0.762994,	-5.036583,	-0.562617,	
-1.605580,	-0.000931,	-4.569737,	-6.837932,	-2.401964,	-6.919230,	
0.203328,	-0.011445,	4.986604,	-4.203993,	8.698886,	-12.703021,	
1.493798,	-0.006569,	-4.784480,	-7.201918,	-2.144145,	-7.051032,	
1.137299,	-0.001536,	10.534475,	-2.052142,	6.243998,	-4.666209,	
-1.882285,	-0.000131,	9.303254,	-2.972001,	4.403002,	-1.623133,	
2.548649,	-0.001648,	5.730460,	-4.664835,	1.417238,	-3.488217,	
-0.083633,	-0.003986,	-8.341466,	-9.723666,	1.342874,	-11.062283,	
2.591649,	-0.000742,	2.622524,	-4.898223,	-1.222307,	-5.940779,	
1.044302,	-0.005684,	-8.121119,	-8.398840,	-2.249473,	-7.279541,	
-1.274830,	-0.004609,	-5.173767,	-8.327442,	-1.416202,	-7.908147,	
-1.424784,	-0.004555,	6.156487,	-6.480198,	3.604809,	-7.020915,	
-1.190534,	-0.001374,	-9.059776,	-7.395671,	-3.387619,	-6.133989,	
-2.012339,	-0.000821,	5.649365,	-6.335263,	1.620879,	-5.643808,	
-0.650521,	-0.000049,	-9.147384,	-9.549036,	-1.132853,	-8.647513,	
-1.284817,	-0.004111,	8.749820,	-4.564059,	5.242111,	-6.063509,	
1.403812,	-0.004626,	8.417043,	-4.884360,	4.664227,	-5.638313,	
0.633580,	-0.000328,	-12.122337,	-8.457798,	-3.929273,	-5.291908,	
-1.126684,	-0.003017,	7.887966,	-4.866236,	5.511170,	-7.249147,	
0.136714,	-0.009667,	-10.023712,	-10.004588,	-0.123492,	-9.882417,	
-1.452057,	-0.006403,	-1.454141,	-8.147582,	-0.220311,	-8.120083,	
0.104707,	-0.005701,	4.145434,	-4.719893,	8.730595,	-13.397330,	
1.376066,	-0.000241,	-1.774227,	-8.183598,	-0.098141,	-8.164630,	
-0.164639,	-0.000635,	-9.527232,	-9.966244,	0.297352,	-10.259606,	
0.675754,	-0.004116,	8.560044,	-2.863013,	7.730837,	-8.874932,	
2.805433,	-0.001717,	5.889219,	-4.852524,	1.178573,	-3.739251,	
-2.703194,	-0.001141,	6.414910,	-4.928404,	1.655248,	-3.430492,	
1.754404,	-0.001205,	9.899826,	-3.291971,	4.727259,	-2.423278,	
-2.512117,	-0.003354,	5.947961,	-5.272167,	1.257020,	-4.258560,	
2.313852,	-0.001327,	6.946690,	-5.059243,	2.283602,	-3.512061,	
-1.395053,	-0.006623,	-1.163482,	-8.191543,	0.163751,	-8.221240,	
0.106390,	-0.009850,	3.969949,	-4.780466,	8.602444,	-13.324859,	
1.315203,	-0.008059,	-1.460503,	-8.221087,	0.285461,	-8.291029,	
-1.841796,	-0.000188,	8.479661,	-4.637246,	3.753889,	-3.633031,	
2.202893,	-0.005031,	4.158947,	-5.963814,	0.371262,	-5.742954,	
1.084730,	-0.003063,	-5.762664,	-8.714224,	-0.961398,	-8.267710,	
-0.000184,	-0.001344,	13.874194,	5.712221,	8.161966,	-2.449739,	
2.616408,	-0.001585,	-6.494954,	1.073658,	-4.452107,	-2.781976,	
-2.006341,	-0.002470,	-3.702028,	-4.957196,	-3.170368,	-6.287683,	
1.795193,	-0.001619,	-7.673157,	-3.752368,	-4.366670,	-4.730922,	
-1.797564,	-0.003505,	-7.594358,	-3.853106,	-4.329874,	-4.811793,	
2.047551,	-0.003456,	-0.239040,	-6.086838,	-1.707701,	-6.875739,	
-2.301267,	-0.000727,	-0.674492,	-4.977981,	-2.567088,	-6.689404,	
-1.905955,	-0.006137,	2.084464,	-6.946276,	-0.084404,	-6.973548,	
1.969433,	-0.001641,	-2.742667,	-5.684592,	-2.682573,	-6.729923,	
-1.567328,	-0.000088,	-2.990563,	-7.512812,	-1.481932,	-7.507542,	
0.176553,	-0.006656,	4.625400,	-4.439451,	8.701727,	-12.995545,	
1.458250,	-0.007132,	-3.316973,	-7.744869,	-1.257998,	-7.612504,	
-2.120873,	-0.005432,	-2.745572,	-4.777927,	-3.015255,	-6.340175,	
-0.312662,	-0.001278,	-4.413595,	-9.016242,	3.811305,	-12.644263,	
-2.528655,	-0.004475,	5.343059,	-5.223719,	0.811701,	-4.561874,	
2.190196,	-0.000032,	7.668228,	-4.602144,	3.004536,	-2.857793,	
-0.659515,	-0.011167,	-2.959718,	-8.851556,	3.001264,	-11.243811,	
-2.489657,	-0.004811,	1.800405,	-4.981473,	-1.562423,	-6.218885,	
0.069738,	-0.003246,	12.376889,	2.866565,	9.467614,	-6.575844,	
-0.513853,	-0.002495,	-10.528736,	-9.362702,	-1.907021,	-7.699626,	
-1.784967,	-0.002024,	1.370941,	-7.117514,	-0.065305,	-7.131264,	
1.783446,	-0.000716,	1.310538,	-7.049167,	-0.093154,	-7.068893,	
1.924962,	-0.003779,	4.579869,	-6.458276,	1.234362,	-6.025818,	
0.915328,	-0.006493,	-3.284740,	-8.913591,	1.286058,	-9.690845,	
-0.195476,	-0.004312,	-9.634992,	-9.913839,	0.094831,	-10.006942,	
0.722789,	-0.000123,	8.633264,	-2.894269,	7.514640,	-8.529362,	
0.205518,	-0.002171,	13.710338,	5.160471,	8.307544,	-2.968543,	
2.470550,	-0.002588,	-3.549740,	-2.711727,	-4.102137,	-5.931003,	
-1.243510,	-0.006936,	-3.931692,	-8.516764,	-0.601304,	-8.319516,	
-1.182811,	-0.001059,	5.897964,	-6.235685,	4.451841,	-7.924289,	
1.749284,	-0.000136,	-6.322482,	-5.113589,	-3.673505,	-5.766281,	
-1.910580,	-0.000191,	-8.369614,	-1.977806,	-4.779369,	-3.569832,	
2.104843,	-0.002283,	-7.059556,	-1.998339,	-4.647018,	-4.372893,	
-1.980211,	-0.002129,	-5.936164,	-3.921473,	-4.063572,	-5.531128,	
-1.250505,	-0.001774,	-1.225527,	-8.564103,	0.781783,	-8.811558,	
-0.325641,	-0.006735,	4.111486,	-5.093913,	8.147647,	-12.830747,	
1.449905,	-0.001772,	-0.929817,	-8.018243,	0.011607,	-8.019622,	
1.036298,	-0.006398,	7.849850,	-4.519202,	5.799838,	-7.441702,	
-0.542835,	-0.002417,	-12.555893,	-8.407539,	-4.227454,	-4.782523,	
-0.691743,	-0.004751,	7.944960,	-3.356911,	7.516881,	-9.168642,	
-1.268474,	-0.000802,	9.659656,	-3.533795,	5.607060,	-5.207522,	
-0.392220,	-0.011293,	-3.407676,	-8.784219,	4.170449,	-12.655732,	
2.643062,	-0.002930,	-5.353560,	-0.335389,	-4.606746,	-4.387866,	
-2.487115,	-0.000561,	-4.699698,	-1.636001,	-4.373885,	-5.104598,	
-1.300644,	-0.007745,	-4.346181,	-8.191611,	-1.090506,	-7.892448,	
-0.989227,	-0.003215,	5.878515,	-5.714223,	5.328268,	-8.655531,	
1.673511,	-0.004468,	-6.800206,	-5.170277,	-3.697812,	-5.565857,	
-1.803344,	-0.002376,	-8.641812,	-2.442763,	-4.722460,	-3.520167,	
-0.362267,	-0.007761,	-5.508165,	-9.325868,	2.889612,	-12.035798,	
-0.221943,	-0.004652,	7.531362,	-2.366372,	9.404973,	-11.550186,	
-1.225149,	-0.003023,	-5.196299,	-8.264523,	-1.259902,	-7.834081,	
-1.416333,	-0.003022,	6.123900,	-6.224767,	3.594287,	-6.788479,	
-0.159789,	-0.002558,	-12.521026,	-9.204037,	-3.348426,	-5.896916,	
0.965688,	-0.001672,	11.504863,	-0.110683,	6.893841,	-4.022766,	
-1.073479,	-0.004078,	-8.816401,	-7.930932,	-2.828982,	-6.571183,	
-2.348591,	-0.001183,	4.200395,	-5.553910,	0.204036,	-5.410908,	
2.374612,	-0.000244,	1.189128,	-5.035646,	-1.645424,	-6.220646,	
-1.230680,	-0.005146,	2.658144,	-7.561068,	2.767042,	-8.497555,	
1.179364,	-0.004523,	2.869240,	-7.350114,	3.037557,	-8.496266,	
-1.512294,	-0.005178,	3.338285,	-7.267435,	1.904240,	-7.388616,	
1.713590,	-0.005848,	0.300782,	-7.108507,	-0.380144,	-7.164805,	
-1.485131,	-0.002632,	-0.308105,	-7.817057,	0.191358,	-7.833931,	
0.688214,	-0.003510,	4.186804,	-5.761818,	6.130088,	-10.482891,	
0.894671,	-0.007961,	-0.937654,	-8.310546,	2.605624,	-9.924850,	
2.110404,	-0.000590,	3.604723,	-6.090178,	0.272264,	-5.950151,	
0.666602,	-0.010980,	-2.478962,	-8.661548,	3.064696,	-11.049225,	
2.284982,	-0.003630,	0.815810,	-5.335621,	-1.718568,	-6.465993,	
-0.047096,	-0.003390,	-10.666858,	-9.946116,	-0.728849,	-9.217962,	
2.013653,	-0.003715,	3.578068,	-6.564660,	0.409680,	-6.387729,	
0.459056,	-0.002250,	-1.760370,	-8.280950,	4.719848,	-12.507443,	
-1.183542,	-0.005971,	-6.148955,	-8.405439,	-1.580117,	-7.799985,	
-1.931290,	-0.000990,	5.346723,	-6.457337,	1.638906,	-5.880753,	
-1.123178,	-0.002179,	11.294105,	-1.045842,	6.487606,	-3.866543,	
2.234753,	-0.005699,	-3.600586,	-3.793418,	-3.688099,	-6.082678,	
-2.989836,	-0.000968,	-6.019229,	1.657357,	-4.282059,	-2.574860,	
-2.739095,	-0.002451,	-4.405933,	-0.784146,	-4.437845,	-4.863070,	
0.418942,	-0.008811,	-3.576288,	-8.835139,	3.807588,	-12.299664,	
2.216242,	-0.000674,	1.612933,	-5.929275,	-1.195151,	-6.648867,	
-1.712060,	-0.001912,	2.806231,	-7.413361,	0.896904,	-7.288780,	
1.810218,	-0.000297,	1.036761,	-7.162196,	-0.341503,	-7.243279,	
2.699536,	-0.003083,	4.172051,	-5.247672,	-0.489636,	-5.690885,	
0.681109,	-0.008253,	-8.049418,	-9.683301,	-0.411009,	-9.366146,	
-1.648108,	-0.003467,	0.002352,	-7.797257,	-0.287236,	-7.818449,	
0.931707,	-0.005396,	4.818243,	-6.364889,	5.206205,	-9.447613,	
0.993158,	-0.009686,	-1.436592,	-8.762371,	1.915493,	-9.792729,	
-1.610533,	-0.007235,	0.382432,	-7.914757,	0.062651,	-7.912721,	
0.926786,	-0.009370,	4.692314,	-6.445499,	5.164603,	-9.507527,	
0.932926,	-0.008371,	-1.205483,	-8.706717,	2.371204,	-10.102740,	
-1.789331,	-0.001456,	9.121727,	-4.805729,	4.139346,	-3.914203,	
2.189267,	-0.001035,	6.041701,	-6.189364,	1.472127,	-5.334598,	
-0.658644,	-0.000684,	-13.053266,	-7.924925,	-4.936716,	-4.018793,	
-2.773746,	-0.005101,	3.028518,	-5.109233,	-1.526795,	-6.531072,	
-0.903511,	-0.000938,	12.186978,	0.164022,	7.478070,	-4.469330,	
1.926751,	-0.003707,	5.570171,	-6.695532,	1.712907,	-6.092661,	
1.259421,	-0.004376,	-7.145486,	-8.051127,	-2.468958,	-7.305009,	
-0.458535,	-0.006394,	-4.636093,	-9.422130,	3.223886,	-12.322060,	
2.364206,	-0.003289,	-6.994534,	-0.689218,	-5.029460,	-4.285543,	
-2.118985,	-0.005104,	-5.194649,	-3.907243,	-4.162773,	-6.058478,	
0.402290,	-0.002339,	10.096564,	-0.746736,	9.336073,	-9.328906,	
-0.619500,	-0.002518,	10.589947,	-0.940815,	8.508932,	-7.880941,	
0.351278,	-0.001126,	-9.191048,	-10.093922,	0.252479,	-10.330885,	
1.354651,	-0.006588,	7.660140,	-5.646669,	4.515096,	-6.585932,	
-0.949601,	-0.001617,	-11.583132,	-7.439316,	-4.364320,	-4.893515,	
-2.723537,	-0.004251,	2.324379,	-4.926621,	-1.857394,	-6.620835,	
1.063494,	-0.002534,	9.744225,	-3.221999,	6.399539,	-6.316844,	
0.216192,	-0.001789,	-12.560863,	-9.698727,	-2.953517,	-6.815102,	
0.032047,	-0.009044,	6.965128,	-2.831494,	9.777731,	-12.600972,	
-0.162664,	-0.005572,	-12.940316,	-9.519293,	-3.453708,	-6.108113,	
2.309540,	-0.003836,	3.945031,	-6.187059,	-0.154658,	-6.291637,	
1.190801,	-0.005893,	-7.446182,	-8.325016,	-2.359505,	-7.462765,	
-0.027761,	-0.010841,	-6.889740,	-9.851772,	2.959774,	-12.811123,	
1.114415,	-0.004117,	8.237069,	-4.864465,	5.728413,	-7.367802,	
-0.435745,	-0.004471,	-12.441048,	-9.425235,	-3.301853,	-6.425720,	
1.965884,	-0.000375,	4.630617,	-6.956578,	1.053523,	-6.550724,	
1.074378,	-0.008660,	-3.907928,	-9.181602,	0.221867,	-9.285580,	
-1.835301,	-0.006115,	-2.276523,	-6.916439,	-2.090156,	-7.450525,	
0.927042,	-0.007966,	5.757198,	-5.967537,	5.645788,	-9.320077,	
1.358069,	-0.005595,	-3.762746,	-8.416339,	-1.037896,	-8.202892,	
-2.837383,	-0.003316,	-4.968509,	-0.493670,	-4.982484,	-5.242403,	
0.662314,	-0.001771,	-4.185449,	-9.386593,	2.323630,	-11.216407,	
-0.147620,	-0.002957,	-7.088926,	-9.899296,	2.651858,	-12.523455,	
2.938712,	-0.004824,	0.710997,	-4.488182,	-3.551927,	-7.970672,	
-0.710203,	-0.000315,	-13.848487,	-7.365711,	-5.798856,	-2.967656,	
3.063383,	-0.005196,	-1.999696,	-2.969512,	-4.935034,	-7.891398,	
1.119453,	-0.007472,	-8.619520,	-8.773637,	-2.672299,	-7.626048,	
1.674192,	-0.001151,	7.329067,	-6.826973,	3.326428,	-6.479840,	
1.262063,	-0.003616,	-12.026499,	-5.299955,	-5.463714,	-3.658625,	
-1.291153,	-0.001589,	-11.302351,	-6.018305,	-5.008931,	-4.628126,	
-2.012228,	-0.000326,	6.282193,	-7.171363,	1.771696,	-6.414955,	
-1.140107,	-0.001186,	13.170773,	0.914697,	7.007858,	-2.018619,	
1.141153,	-0.000503,	11.996427,	-1.412648,	6.888401,	-4.278835,	
2.404418,	-0.001805,	1.985707,	-6.213426,	-1.808253,	-7.554396,	
0.834239,	-0.001364,	-3.052040,	-9.555830,	2.165863,	-11.008541,	
-0.523324,	-0.008695,	-4.473839,	-9.759955,	3.237582,	-12.578190,	
-0.781135,	-0.008152,	-7.629609,	-10.097791,	-0.269767,	-9.904683,	
-1.339418,	-0.002650,	-6.292201,	-8.584134,	-2.210207,	-8.071592,	
-2.027340,	-0.000394,	5.170965,	-7.415955,	1.054440,	-6.951481,	
2.175156,	-0.002194,	-6.092684,	-3.545532,	-4.843888,	-6.306741,	
-2.340333,	-0.002365,	-7.462543,	-1.195286,	-5.461778,	-4.986318,	
0.644233,	-0.001936,	-7.312921,	-10.253200,	0.640850,	-10.764853,	
-1.022713,	-0.004644,	1.487444,	-8.699130,	3.511194,	-10.542543,	
0.172051,	-0.009245,	2.985894,	-5.997264,	8.605117,	-14.461350,	
0.902298,	-0.007469,	0.747180,	-8.606073,	3.715568,	-10.887171,	
-1.559916,	-0.004442,	-6.664042,	-7.306488,	-3.276432,	-7.256287,	
-1.200047,	-0.003763,	6.947437,	-6.518274,	5.000566,	-8.347573,	
2.055816,	-0.005991,	-3.561112,	-5.733382,	-3.523995,	-7.395008,	
-2.999277,	-0.000629,	-7.985855,	2.819276,	-5.091994,	-2.220785,	
-2.311772,	-0.004947,	-3.986102,	-4.089811,	-4.345087,	-7.006885,	
2.194764,	-0.003193,	-6.330366,	-3.144996,	-4.938367,	-6.043070,	
-2.298269,	-0.000452,	-7.185967,	-1.666418,	-5.322366,	-5.203913,	
-1.515198,	-0.002847,	-4.259377,	-8.235847,	-1.892382,	-8.125310,	
-0.899655,	-0.007775,	6.115719,	-6.038662,	6.170413,	-9.913375,	
1.895983,	-0.004570,	-1.993194,	-6.985186,	-2.245253,	-7.712226,	
-0.597430,	-0.000346,	-5.460524,	-9.915131,	2.081195,	-11.636234,	
-1.250800,	-0.000587,	-6.417904,	-8.765089,	-1.923424,	-8.158980,	
-2.268892,	-0.005310,	3.961696,	-6.799460,	-0.239310,	-6.952303,	
1.151326,	-0.001322,	11.646801,	-1.740864,	6.731873,	-4.474471,	
0.301225,	-0.009955,	9.493964,	-1.268119,	9.783960,	-10.582186,	
-0.816050,	-0.002039,	11.887422,	-0.328550,	7.924260,	-5.769251,	
1.837641,	-0.002314,	-9.896943,	-1.919774,	-5.394456,	-3.354269,	
-1.699875,	-0.000289,	-7.032582,	-5.876446,	-3.926038,	-6.380681,	
-0.227174,	-0.008425,	6.009228,	-3.937871,	9.410108,	-13.123732,	
1.754661,	-0.000428,	-7.005616,	-5.387242,	-4.064665,	-6.132096,	
-1.892417,	-0.000160,	-9.268468,	-2.157656,	-5.236461,	-3.812132,	
-0.101681,	-0.009219,	-3.447654,	-8.891857,	5.360523,	-14.229482,	
2.491201,	-0.005610,	-5.582711,	-1.725010,	-5.114048,	-5.812316,	
-2.634989,	-0.002082,	-6.254151,	-0.349482,	-5.301807,	-4.980003,	
0.930356,	-0.001586,	-7.559296,	-9.533786,	-1.139911,	-8.854085,	
0.118032,	-0.013236,	-3.046948,	-8.824471,	5.605566,	-14.381811,	
-2.009225,	-0.002824,	8.407006,	-6.079576,	3.206276,	-4.726660,	
1.620301,	-0.003756,	10.156932,	-4.535348,	4.964779,	-4.271042,	
0.411179,	-0.007721,	8.926280,	-2.184908,	9.371725,	-10.746328,	
0.302760,	-0.009763,	8.524046,	-2.208325,	9.707710,	-11.445800,	
-0.224047,	-0.000371,	11.764366,	1.140975,	10.152299,	-8.758416,	
1.644632,	-0.002574,	9.964816,	-4.654374,	4.818800,	-4.286527,	
2.403066,	-0.007420,	-1.006370,	-5.195624,	-3.371233,	-7.705291,	
-2.572220,	-0.006266,	-1.987007,	-4.230069,	-4.270009,	-7.811944,	
2.749219,	-0.000804,	5.515549,	-6.100410,	-0.107475,	-6.199751,	
-1.727791,	-0.003364,	-0.180568,	-8.144279,	-0.721881,	-8.254746,	
0.664486,	-0.008349,	5.221776,	-5.782225,	7.018090,	-11.270779,	
1.410331,	-0.008216,	-2.461948,	-8.737168,	-0.575040,	-8.649957,	
-1.201185,	-0.001519,	-2.960868,	-9.265664,	0.213811,	-9.343206,	
-1.428500,	-0.003997,	5.669561,	-7.373364,	3.408408,	-7.870214,	
1.951656,	-0.002473,	-0.380768,	-7.101717,	-1.632647,	-7.712350,	
-1.866493,	-0.004850,	1.102584,	-7.679257,	-0.573347,	-7.843672,	
1.457938,	-0.007703,	5.062770,	-7.498186,	2.941095,	-7.806887,	
0.921277,	-0.008535,	-1.836894,	-9.191072,	2.227960,	-10.523359,	
-0.619691,	-0.006056,	8.916878,	-2.834466,	8.436666,	-9.731949,	
-3.010862,	-0.005658,	4.950879,	-5.576969,	-0.563876,	-6.135608,	
-1.051605,	-0.002390,	12.806618,	0.417482,	7.192032,	-3.165961,	
0.955665,	-0.003010,	12.560960,	0.293274,	7.421385,	-3.971091,	
-2.494158,	-0.000306,	8.473083,	-5.014731,	3.279945,	-2.399142,	
2.426226,	-0.001675,	8.373694,	-4.934112,	3.250699,	-2.476744,	
-0.347042,	-0.004929,	-8.452151,	-10.245944,	1.078625,	-11.262060,	
2.808942,	-0.001305,	0.727826,	-4.789755,	-3.437593,	-8.040362,	
1.176242,	-0.003753,	-10.144394,	-7.803836,	-3.866360,	-6.331027,	
-1.098156,	-0.001854,	8.212295,	-5.413923,	5.965577,	-8.139528,	
-0.889766,	-0.000872,	-9.480310,	-9.551570,	-2.158921,	-8.190863,	
1.996357,	-0.000597,	-10.404195,	0.310565,	-5.617899,	-2.011736,	
-1.727347,	-0.001793,	-5.444743,	-6.804325,	-3.285820,	-7.310806,	
-0.366313,	-0.008036,	5.946598,	-4.433636,	8.992912,	-12.855520,	
1.857381,	-0.003539,	-4.615000,	-6.278096,	-3.342249,	-7.234216,	
-2.315839,	-0.001497,	-9.023299,	1.079640,	-5.378433,	-2.561032,	
0.730972,	-0.007031,	-4.581662,	-9.827260,	1.850844,	-11.196539,	
-1.659260,	-0.004384,	-1.774858,	-8.184277,	-1.235447,	-8.288031,	
0.077725,	-0.011927,	4.798207,	-4.694578,	9.398592,	-14.055424,	
1.611084,	-0.004275,	-2.315808,	-8.099335,	-1.339636,	-8.159012,	
-1.199402,	-0.008564,	-3.134041,	-9.258113,	0.160878,	-9.317780,	
-1.497196,	-0.003046,	5.652204,	-7.417575,	3.119230,	-7.656416,	
1.989244,	-0.001806,	-0.757882,	-6.861480,	-1.940129,	-7.653037,	
3.015522,	-0.000377,	0.930308,	-4.437312,	-3.418276,	-7.828620,	
0.358861,	-0.001155,	-14.549489,	-7.807624,	-6.442800,	-1.777865,	
-3.021658,	-0.000321,	0.576429,	-4.315114,	-3.654920,	-7.943637,	
-0.145755,	-0.001966,	14.305104,	5.176744,	8.997046,	-3.727454,	
-1.653914,	-0.000737,	-3.977283,	-7.505389,	-2.305244,	-7.695080,	
-0.226883,	-0.006896,	5.286161,	-4.441319,	9.183156,	-13.403164,	
1.732324,	-0.006251,	-3.718013,	-7.047157,	-2.482028,	-7.461639,	
-2.314026,	-0.000819,	-9.091025,	2.249360,	-4.906435,	-1.067714,	
1.872552,	-0.002075,	-9.954580,	-0.991670,	-5.365770,	-2.596987,	
-1.683093,	-0.005022,	-6.181071,	-6.286416,	-3.446832,	-6.655464,	
-0.122358,	-0.001809,	5.660997,	-3.946969,	9.442761,	-13.321201,	
1.693644,	-0.005686,	-6.471142,	-5.903396,	-3.643853,	-6.370464,	
